iter	Passed	Remaining
0	5	3386
1	10	2992
2	14	2766
3	17	2589
4	30	3587
5	39	3896
6	46	3926
7	52	3831
8	57	3720
9	61	3595
10	65	3481
11	69	3360
12	77	3472
13	93	3862
14	100	3888
15	106	3853
16	111	3794
17	116	3737
18	121	3665
19	124	3584
20	134	3678
21	152	3959
22	160	3996
23	167	3972
24	172	3929
25	177	3887
26	182	3832
27	186	3767
28	190	3704
29	207	3899
30	214	3904
31	220	3875
32	225	3838
33	230	3794
34	234	3743
35	238	3698
36	242	3645
37	254	3730
38	264	3769
39	271	3765
40	277	3742
41	282	3708
42	286	3673
43	290	3634
44	294	3592
45	298	3551
46	318	3706
47	326	3717
48	333	3708
49	339	3689
50	343	3661
51	348	3630
52	352	3596
53	356	3560
54	359	3524
55	379	3645
56	387	3653
57	394	3648
58	400	3632
59	405	3610
60	410	3582
61	413	3551
62	417	3519
63	434	3595
64	443	3607
65	450	3604
66	456	3587
67	461	3566
68	465	3540
69	469	3512
70	473	3485
71	489	3546
72	497	3550
73	503	3539
74	509	3525
75	514	3505
76	518	3482
77	523	3460
78	526	3434
79	542	3487
80	551	3494
81	558	3484
82	563	3468
83	568	3449
84	572	3429
85	576	3407
86	580	3385
87	584	3362
88	605	3433
89	613	3436
90	620	3427
91	625	3413
92	630	3396
93	634	3376
94	638	3356
95	642	3334
96	651	3338
97	664	3364
98	671	3356
99	676	3343
100	681	3327
101	686	3309
102	690	3290
103	694	3270
104	697	3249
105	714	3289
106	724	3299
107	731	3293
108	738	3284
109	743	3270
110	747	3254
111	752	3237
112	756	3218
113	759	3198
114	778	3242
115	787	3246
116	794	3239
117	801	3234
118	807	3221
119	811	3205
120	815	3189
121	820	3172
122	837	3207
123	846	3207
124	852	3199
125	858	3188
126	863	3174
127	867	3159
128	871	3142
129	879	3137
130	895	3164
131	902	3159
132	908	3150
133	914	3138
134	919	3124
135	923	3109
136	927	3093
137	944	3121
138	953	3122
139	960	3116
140	966	3105
141	971	3092
142	976	3079
143	980	3064
144	993	3077
145	1004	3081
146	1011	3076
147	1017	3065
148	1022	3053
149	1027	3040
150	1031	3026
151	1035	3010
152	1042	3005
153	1058	3023
154	1065	3017
155	1071	3008
156	1076	2996
157	1081	2983
158	1085	2969
159	1089	2954
160	1092	2939
161	1109	2957
162	1118	2958
163	1125	2951
164	1131	2941
165	1136	2930
166	1140	2917
167	1145	2903
168	1148	2889
169	1152	2874
170	1172	2900
171	1180	2895
172	1186	2886
173	1192	2877
174	1196	2865
175	1200	2852
176	1204	2838
177	1208	2824
178	1224	2839
179	1233	2836
180	1240	2829
181	1245	2819
182	1250	2809
183	1255	2796
184	1259	2783
185	1262	2770
186	1266	2756
187	1286	2778
188	1294	2774
189	1301	2766
190	1306	2757
191	1311	2746
192	1316	2734
193	1320	2721
194	1323	2708
195	1332	2705
196	1346	2712
197	1352	2704
198	1358	2696
199	1363	2685
200	1367	2674
201	1371	2662
202	1375	2649
203	1380	2639
204	1397	2652
205	1407	2651
206	1414	2644
207	1420	2636
208	1425	2626
209	1430	2615
210	1435	2604
211	1438	2592
212	1447	2588
213	1460	2593
214	1467	2587
215	1473	2578
216	1478	2569
217	1483	2558
218	1487	2546
219	1493	2538
220	1509	2547
221	1517	2543
222	1524	2535
223	1529	2526
224	1534	2516
225	1538	2505
226	1542	2494
227	1546	2482
228	1557	2482
229	1573	2489
230	1581	2484
231	1587	2477
232	1592	2468
233	1597	2458
234	1601	2447
235	1605	2435
236	1609	2424
237	1627	2434
238	1634	2428
239	1640	2419
240	1645	2410
241	1650	2400
242	1654	2390
243	1658	2379
244	1662	2367
245	1674	2369
246	1684	2366
247	1691	2359
248	1696	2350
249	1701	2341
250	1706	2331
251	1710	2321
252	1713	2310
253	1722	2306
254	1738	2311
255	1746	2306
256	1753	2298
257	1758	2289
258	1763	2280
259	1767	2270
260	1771	2260
261	1774	2249
262	1778	2238
263	1798	2247
264	1805	2242
265	1812	2235
266	1817	2226
267	1822	2217
268	1827	2207
269	1831	2197
270	1834	2186
271	1838	2176
272	1854	2180
273	1862	2174
274	1868	2167
275	1874	2159
276	1878	2150
277	1883	2140
278	1887	2131
279	1891	2120
280	1894	2110
