model,dataset,seed,n_train,n_test,n_features,fit_time_sec,predict_time_sec,total_time_sec,tuning_time_sec,total_wall_time_sec,throughput_rows_per_sec,ms_per_test_row,error,roc_auc,avg_precision,f1_macro,brier_score,log_loss_val,sensitivity,specificity,ppv
TabPFN,credit-g,0,800,200,20,1.7233566999993855,1.4230628999994224,3.146419599998808,0.0,3.146419599998808,140.54192534956763,7.115314499997112,,0.7794047619047619,0.8897027894015426,0.6932891669733775,0.16862948285636592,0.5053392471294029,0.8428571428571429,0.5333333333333333,0.8082191780821918
XGBoost,credit-g,0,800,200,20,87.60554910000064,0.004451499999959196,87.6100006000006,87.25601809999989,174.8660187000005,44928.665634767516,0.022257499999795982,,0.7738095238095238,0.8841637388710442,0.6529549862202715,0.16949492692947388,0.5102691054344177,0.9,0.38333333333333336,0.7730061349693251
LightGBM,credit-g,0,800,200,20,42.21149609999975,0.003910599999471742,42.21540669999922,41.98636160000024,84.20176829999946,51143.03403160197,0.01955299999735871,,0.7608333333333333,0.8644268413814413,0.6578497170680353,0.17188194702054688,0.5234577932076486,0.8785714285714286,0.4166666666666667,0.7784810126582279
CatBoost,credit-g,0,800,200,20,122.73265770000035,0.006608000000596803,122.73926570000094,120.58530009999959,243.32456580000053,30266.339242675196,0.033040000002984016,,0.7714285714285715,0.8714788066743222,0.6666666666666667,0.16900313010000084,0.5154242056041916,0.8928571428571429,0.4166666666666667,0.78125
MLP,credit-g,0,800,200,20,24.40875860000051,0.0027673000004142523,24.411525900000925,24.148251999999957,48.55977790000088,72272.58616610948,0.013836500002071261,,0.7034523809523808,0.8533161012652666,0.5408087690712488,0.19217081367969513,0.5634206533432007,0.9,0.2,0.7241379310344828
TabPFN,diabetes,0,614,154,8,1.4148197000004075,1.616169899999477,3.0309895999998844,0.0,3.0309895999998844,95.28701153558349,10.494609740256344,,0.8242592592592594,0.6978670655431023,0.6742307692307692,0.16771697029201277,0.4970274608379577,0.5185185185185185,0.82,0.6086956521739131
XGBoost,diabetes,0,614,154,8,43.591695100000834,0.002956699999231205,43.594651800000065,43.41974250000021,87.01439430000028,52085.077266873705,0.019199350644358473,,0.8309259259259258,0.7189480985648469,0.7186538461538461,0.15948306024074554,0.4799632430076599,0.5740740740740741,0.85,0.6739130434782609
LightGBM,diabetes,0,614,154,8,16.015330299999732,0.010153899999750138,16.025484199999482,15.968982300000789,31.99446650000027,15166.584744502587,0.06593441558279312,,0.830462962962963,0.7086844021656553,0.7065520105535741,0.16137544896908537,0.4873549013891591,0.5370370370370371,0.86,0.6744186046511628
CatBoost,diabetes,0,614,154,8,122.86499560000084,0.008261600000878389,122.87325720000172,122.69833980000021,245.57159700000193,18640.454796065125,0.05364675325245707,,0.8079629629629629,0.6709076856321698,0.6842210552638159,0.17374378203336907,0.5214396734567245,0.48148148148148145,0.87,0.6666666666666666
MLP,diabetes,0,614,154,8,8.464779999999337,0.0015285999998013722,8.466308599999138,8.334020299999793,16.80032889999893,100745.71455861334,0.009925974024684234,,0.8277777777777778,0.7265093880726103,0.7009708737864078,0.16150802373886108,0.4806264042854309,0.5740740740740741,0.82,0.6326530612244898
TabPFN,banknote-auth,0,1097,275,4,6.833993600000213,5.834057400000347,12.66805100000056,0.0,12.66805100000056,47.13700622020733,21.214754181819444,,1.0,1.0,1.0,1.6868621026891053e-10,1.2988004096877107e-05,1.0,1.0,1.0
XGBoost,banknote-auth,0,1097,275,4,25.594941800000015,0.0030902999997124425,25.598032099999728,25.484246500000154,51.08227859999988,88988.09534268318,0.011237454544408882,,1.0,1.0,1.0,0.00039214626303873956,0.00560514023527503,1.0,1.0,1.0
LightGBM,banknote-auth,0,1097,275,4,23.20807380000042,0.0031381999997392995,23.21121200000016,23.05694709999989,46.26815910000005,87629.82359091885,0.011411636362688363,,1.0,1.0,0.9963198394111743,0.0030777483749013404,0.009190160303489302,1.0,0.9934640522875817,0.991869918699187
CatBoost,banknote-auth,0,1097,275,4,157.43743200000063,0.014572200000657176,157.45200420000128,153.2401991000006,310.6922033000019,18871.54864166354,0.052989818184207914,,0.999946426658095,0.9999333599893376,0.9963198394111743,0.003627116652181224,0.017833995647350193,1.0,0.9934640522875817,0.991869918699187
MLP,banknote-auth,0,1097,275,4,18.374880100000155,0.0011965000003328896,18.376076600000488,18.266993500000353,36.64307010000084,229836.83250034036,0.0043509090921195984,,1.0,1.0,0.9816541915168981,0.00864519365131855,0.030316835269331932,1.0,0.9673202614379085,0.9606299212598425
